Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Lx Ly Lz
100.000000 50160.0000 220.000000 1965.60767 2685.41187 4003.29419 23.8021393 136.988556 38.6318359 6.94356298 206.366089 -2728.79712 -77.4468689 25796.0273 -19270.3027 8126.61133 0.950232923 30.0000000 38.0000000 44.0000000
200.000000 50626.0508 126.509193 2123.02905 1544.22400 5365.95557 377.227020 547.040527 317.700836 51.5504990 1293.51892 -2526.87036 -76.7339096 25858.9199 -19259.6113 8477.67383 0.941485345 30.0926266 38.1173286 44.1358528
400.000000 52810.0742 147.660583 1186.87500 1802.40674 5791.70996 615.227112 688.925781 363.548981 59.1670761 1726.86902 -2444.64844 -73.5604935 25800.1680 -19290.6777 8508.22559 0.902549088 30.5192833 38.6577606 44.7616158
600.000000 54266.9375 202.448593 800.421753 2471.17188 5895.61719 610.249023 626.307007 449.299011 74.1721878 1760.02722 -2345.19141 -71.5856628 25795.0977 -19314.3164 9000.26465 0.878319025 30.7973862 39.0100212 45.1694984
800.000000 55519.2578 220.783737 579.129089 2694.97852 6255.68213 769.077698 709.890198 469.025726 74.4403458 2022.43396 -2272.55664 -69.9709473 25820.9980 -19315.1934 9419.57617 0.858507216 31.0324898 39.3078194 45.5143204
1000.00000 56701.1953 202.817764 -691.454773 2475.67822 6548.33984 918.907776 817.588013 457.612305 82.5948181 2276.70288 -2213.66919 -68.5123978 25802.2578 -19316.9512 8452.23438 0.840611637 31.2511597 39.5848045 45.8350334
1200.00000 57367.1367 216.333908 97.6114044 2640.66211 6263.20068 756.862610 643.643372 474.638916 77.1538239 1952.29871 -2188.21924 -67.7170792 25811.8926 -19312.7715 8985.52832 0.830853462 31.3730297 39.7391739 46.0137787
1400.00000 57716.7930 223.886780 452.637024 2732.85547 6342.33740 764.615112 734.330444 470.020477 73.6304703 2042.59656 -2202.89404 -67.3068390 25817.9102 -19315.2754 9456.19531 0.825820029 31.4366417 39.8197441 46.1070747
1600.00000 57724.2852 225.465942 1992.31360 2752.13135 6386.79199 766.539124 718.376404 473.737244 75.6056137 2034.25842 -2153.06494 -67.2981033 25821.2559 -19315.6562 10816.1523 0.825712860 31.4380016 39.8214684 46.1090698
1800.00000 57815.6523 225.534317 1326.23438 2752.96582 6268.37500 697.065674 721.158264 459.750214 69.2175674 1947.19165 -2188.61597 -67.1917496 25831.6406 -19321.8418 10139.5977 0.824407995 31.4545803 39.8424683 46.1333847
2000.00000 57552.9453 221.421585 -447.176331 2702.76416 6350.75781 769.531433 714.874573 469.685791 70.0696487 2024.16150 -2176.07031 -67.4984512 25828.7051 -19326.0371 8678.18457 0.828171074 31.4068661 39.7820282 46.0634041
2200.00000 57201.2695 218.469528 -1005.13220 2666.73022 6392.81689 784.069946 748.545471 488.421631 82.2346420 2103.27173 -2186.00073 -67.9134369 25793.2988 -19317.7520 8221.04395 0.833262682 31.3427658 39.7008362 45.9693871
2400.00000 57143.1523 220.311203 9.32328510 2689.21069 6311.03271 741.399048 696.180115 488.747620 77.7932892 2004.12000 -2199.92358 -67.9825134 25826.0117 -19319.1758 9008.01270 0.834110141 31.3321457 39.6873856 45.9538155
2600.00000 57126.6914 215.829453 283.819122 2634.50439 6383.29346 767.460632 772.576538 500.828583 76.1605682 2117.02637 -2206.08276 -68.0020981 25792.1035 -19319.7539 9254.25684 0.834350526 31.3291378 39.6835747 45.9494019
2800.00000 56826.7188 218.510834 -132.694458 2667.23438 6356.36133 755.338745 739.921875 485.820312 81.8536072 2062.93457 -2191.45996 -68.3610611 25802.5273 -19317.6406 8913.62402 0.838754773 31.2742043 39.6139946 45.8688354
3000.00000 56728.3164 219.521317 -1074.34631 2679.56885 6345.15576 757.042053 759.156311 511.448029 77.5108032 2105.15723 -2213.26318 -68.4796448 25771.5742 -19318.3125 8135.89209 0.840209782 31.2561417 39.5911140 45.8423424
3200.00000 56576.9922 214.630707 -392.052856 2619.87207 6302.60986 755.867310 744.423157 492.372681 80.1699600 2072.83301 -2221.03809 -68.6628036 25775.4395 -19324.6250 8598.99219 0.842457056 31.2283249 39.5558777 45.8015442
3400.00000 56309.5352 218.257675 444.663971 2664.14429 6291.96924 760.637573 724.170471 484.624847 71.3233566 2040.75623 -2235.38843 -68.9889374 25805.7480 -19319.1465 9321.27930 0.846458495 31.1790390 39.4934502 45.7292557
3600.00000 56112.0039 221.158447 -534.478699 2699.55225 6282.97021 727.255859 746.773926 489.602753 84.7525711 2048.38501 -2240.04517 -69.2317963 25796.6797 -19322.0508 8545.13965 0.849438250 31.1425381 39.4472160 45.6757240
3800.00000 55964.5352 214.670227 -1191.75732 2620.35425 6275.46387 729.754761 771.929993 493.739685 75.5470734 2070.97144 -2253.00000 -69.4142227 25779.9824 -19322.4902 7923.12354 0.851676583 31.1152325 39.4126282 45.6356735
4000.00000 55835.8906 220.761093 -531.649841 2694.70190 6259.96680 747.452148 745.804626 503.822357 76.7700043 2073.84912 -2256.21680 -69.5741577 25768.7832 -19326.4492 8521.74121 0.853638828 31.0913715 39.3824043 45.6006813
4200.00000 55528.6250 220.963669 1287.33105 2697.17480 6235.45850 732.481323 736.067993 489.383759 77.9644623 2035.89746 -2258.66162 -69.9591446 25777.2207 -19318.9980 9975.14941 0.858362377 31.0342369 39.3100319 45.5168800
4400.00000 55572.8438 217.921478 822.007629 2660.04053 6278.62012 751.386169 743.576843 496.896179 79.3397293 2071.19897 -2258.01685 -69.9034729 25783.1797 -19317.7422 9604.87500 0.857679427 31.0424709 39.3204613 45.5289574
4600.00000 55701.4531 222.192154 -211.889084 2712.16992 6286.70312 773.316528 762.710022 504.131775 84.0466080 2124.20483 -2284.15894 -69.7420731 25767.0684 -19320.4102 8826.74512 0.855699122 31.0663986 39.3507729 45.5640526
4800.00000 55735.1133 219.129562 -21.7219925 2674.78687 6257.27832 766.132568 737.952942 483.728607 83.0771027 2070.89111 -2274.56299 -69.6999512 25784.2695 -19323.3203 8914.40918 0.855182290 31.0726566 39.3586998 45.5732307
5000.00000 55689.4141 218.069397 630.250793 2661.84595 6296.62549 749.847351 756.541199 507.609100 80.8737488 2094.87134 -2273.85400 -69.7571564 25791.4141 -19315.8066 9470.34375 0.855884135 31.0641613 39.3479385 45.5607681
5200.00000 55596.3633 223.248535 554.435730 2725.06470 6299.39014 757.500000 758.784973 512.276062 84.3944397 2112.95532 -2285.10620 -69.8739014 25789.4688 -19317.9277 9474.00000 0.857316554 31.0468502 39.3260117 45.5353813
5400.00000 55481.2422 219.766159 86.2643738 2682.55737 6245.05811 744.397339 747.425415 483.102783 82.3681946 2057.29370 -2274.70532 -70.0188828 25777.6035 -19315.1348 8997.41504 0.859095454 31.0254059 39.2988472 45.5039291
5600.00000 55340.3867 218.575943 507.781555 2668.02905 6249.96680 724.924927 747.407227 521.735596 80.8313141 2074.89917 -2293.47119 -70.1971054 25793.0195 -19324.4805 9327.81738 0.861282051 30.9991283 39.2655602 45.4653893
5800.00000 55130.0664 224.193146 563.889160 2736.59521 6224.54980 756.375427 756.660095 474.512665 76.8365097 2064.38477 -2284.76880 -70.4649048 25771.5938 -19326.6602 9414.52051 0.864567876 30.9598064 39.2157555 45.4077187
6000.00000 55233.1797 219.272446 -231.468704 2676.53101 6183.58984 713.216797 745.879150 495.940216 76.3795929 2031.41577 -2308.94775 -70.3333588 25787.4551 -19326.3340 8673.66797 0.862953842 30.9790974 39.2401886 45.4360085
6200.00000 55439.9336 216.439697 -1007.55981 2641.95337 6263.98975 750.804260 801.121643 494.337219 84.8592606 2131.12231 -2297.43066 -70.0710602 25754.5957 -19324.2988 8091.29590 0.859735608 31.0177040 39.2890892 45.4926338
6400.00000 55678.1406 215.817261 -1307.25293 2634.35547 6332.13135 777.721802 754.756470 506.213470 81.9408646 2120.63257 -2257.40283 -69.7712784 25786.3945 -19317.4941 7904.98633 0.856057405 31.0620632 39.3452835 45.5576935
6600.00000 55676.1836 218.663193 -1283.67480 2669.09399 6243.25342 740.541382 764.416260 506.956024 78.2306747 2090.14429 -2264.76660 -69.7737274 25740.6328 -19322.7578 7870.02881 0.856087506 31.0617008 39.3448219 45.5571594
6800.00000 55602.3125 217.569748 -61.3131027 2655.74707 6291.18652 763.500061 778.549866 489.710388 81.1707611 2112.93115 -2257.35498 -69.8664246 25759.1914 -19323.5801 8897.21484 0.857224822 31.0479565 39.3274117 45.5370026
7000.00000 55578.3125 219.929443 528.373291 2684.55054 6277.63037 740.822266 759.558289 507.481903 81.8666916 2089.72925 -2274.72119 -69.8965912 25786.5215 -19323.8984 9390.45508 0.857594967 31.0434895 39.3217545 45.5304527
7200.00000 55015.3984 218.627808 544.278748 2668.66235 6218.34424 755.995361 760.120178 494.357697 73.9768677 2084.45020 -2294.47314 -70.6117706 25752.5352 -19324.1680 9323.70508 0.866369903 30.9383278 39.1885490 45.3762131
7400.00000 54668.3828 218.683914 559.095093 2669.34692 6201.58398 751.475830 755.290955 481.887207 75.4343338 2064.08838 -2293.60352 -71.0599899 25751.2109 -19320.1113 9316.68750 0.871869266 30.8731422 39.1059799 45.2806091
7600.00000 55252.4062 224.230774 -307.593262 2737.05444 6243.59619 748.533386 786.230469 482.490204 74.7501984 2092.00439 -2281.90869 -70.3088837 25756.0352 -19322.5332 8732.79199 0.862653553 30.9826908 39.2447433 45.4412804
7800.00000 55710.7188 217.434845 -708.112244 2654.10034 6214.83252 745.593872 771.606384 480.500824 75.0165405 2072.71777 -2300.61401 -69.7304764 25770.8145 -19328.0879 8293.60352 0.855556786 31.0681229 39.3529549 45.5665779
8000.00000 55129.4844 222.273483 21.9016323 2713.16284 6173.16016 765.095520 740.150940 497.965027 73.9593124 2077.17065 -2317.37646 -70.4656525 25736.9395 -19323.5742 8903.93262 0.864576995 30.9596977 39.2156181 45.4075584
