Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
53.0000000 41387.5352 196.923080 2051.75049 2403.72510 2161.33862 13.2533617 152.292175 5.35868216 0.636570930 171.540787 -3680.73242 -93.8624344 25372.5371 -19702.0078 5803.48975 1.15164340 27.8799992 38.0559998 39.0079994 90.0000000 90.0000000 90.0000000
200.000000 42120.8789 123.790939 3687.59595 1511.04395 3355.88062 336.715179 526.144531 201.768723 47.9466934 1112.57507 -3494.55371 -92.2282486 25436.7949 -19698.9355 7132.17676 1.13159275 27.8993587 38.4915581 39.2229004 90.0219421 89.9055405 89.8577042
400.000000 43497.0898 160.237534 2268.65918 1955.92615 3561.15820 305.037201 301.556580 408.638428 39.3560219 1054.58826 -3408.04297 -89.3102264 25611.7012 -19697.0879 6956.23193 1.09579015 27.9255314 39.2247162 39.7112274 90.1169968 89.7771454 89.6079559
600.000000 42691.3555 191.760010 2140.27539 2340.70264 3959.55664 417.595520 466.525879 370.210419 70.4465866 1324.77844 -3238.94507 -90.9958191 25570.4258 -19696.7031 7632.81543 1.11647165 27.7440319 38.8108253 39.6509514 90.4722748 89.8276978 89.4601059
800.000000 43801.0156 199.875015 -6387.70459 2439.75781 4562.62744 772.617126 660.654053 461.601318 85.7692566 1980.64185 -3326.87744 -88.6905212 25604.9102 -19696.0469 2921.96509 1.08818674 27.9534283 39.0952988 40.0802307 89.9932785 90.0243607 89.7085876
1000.00000 44209.6250 220.489456 -9851.45312 2691.38623 4652.78564 980.585083 727.192627 318.394562 17.8255100 2043.99780 -3183.87964 -87.8707962 25486.4473 -19693.7793 992.427429 1.07812905 28.1605606 39.2074547 40.0417671 89.8420105 89.9437561 89.7390060
1200.00000 44447.9531 167.562485 -1795.49683 2045.33765 5140.30518 732.245300 1169.60876 475.987518 76.8046341 2454.64624 -3104.24731 -87.3996353 25483.8828 -19693.9766 6021.75146 1.07234836 28.2861195 38.9689217 40.3258209 90.3979721 89.8730240 89.5804672
1400.00000 44414.4688 214.233795 -563.917908 2615.02710 4501.54834 671.261597 763.455078 457.834503 37.4164009 1929.96753 -3263.04150 -87.4655304 25532.0352 -19697.4121 6751.30371 1.07315671 28.3790684 38.7932549 40.3452187 90.1500549 89.9030457 89.4518890
1600.00000 44181.4102 205.030380 883.657471 2502.68628 4630.33740 769.956848 701.662476 493.514923 69.9063568 2035.04065 -3183.02930 -87.9269104 25473.0137 -19694.6875 7702.39990 1.07881773 28.2307968 38.6937943 40.4475136 90.3367996 89.8988190 89.6416168
1800.00000 44894.0312 175.904144 -8303.03613 2147.15918 5176.67236 957.159180 781.739197 554.298157 75.7564697 2368.95288 -3255.62842 -86.5312119 25758.5449 -19695.1973 1887.55664 1.06169307 28.1115894 39.0465393 40.9015465 90.4388275 89.9544830 89.6946564
