Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul v_scale_gauss c_lj c_coul c_gauss
650000.000 46478.4727 133.829742 2085.75049 2450.57202 -715.740967 1734.83118 3148.63818 -2700.61426 -13.4636688 295.383423 -220.683121 0.649999976 0.161085397 1.13658374E-02 0.398523122 -312.505371 295.383423 -2374.64526
650200.000 46478.4727 136.235947 1926.12463 2494.63208 -721.465454 1773.16675 3078.77271 -2721.79419 -13.4636688 295.446045 -220.657578 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.886536 295.446045 -2388.44409
650400.000 46478.4727 132.513672 1383.18970 2426.47314 -708.015991 1718.45715 2656.03955 -2724.29297 -13.4636688 294.856995 -220.661133 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.825897 294.856995 -2395.00342
650600.000 46478.4727 131.683975 1371.15674 2411.28052 -744.772461 1666.50806 2595.93408 -2729.80322 -13.4636688 295.267334 -220.652344 0.649999976 0.161085397 1.13658374E-02 0.398523122 -323.986694 295.267334 -2392.35278
650800.000 46478.4727 136.246674 1768.97119 2494.82886 -723.682251 1771.14661 2970.22754 -2719.80981 -13.4636688 295.413818 -220.641632 0.649999976 0.161085397 1.13658374E-02 0.398523122 -318.370026 295.413818 -2387.97607
651000.000 46478.4727 130.986511 2457.10913 2398.50903 -678.681519 1719.82764 3385.35669 -2710.35400 -13.4636688 295.439789 -220.636383 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.334717 295.439789 -2381.55566
651200.000 46478.4727 130.649536 2424.34814 2392.33911 -727.427795 1664.91125 3308.23340 -2737.66455 -13.4636688 295.134918 -220.619705 0.649999976 0.161085397 1.13658374E-02 0.398523122 -317.901428 295.134918 -2406.29956
651400.000 46478.4727 132.739365 1789.23706 2430.60571 -759.883179 1670.72266 2883.54077 -2746.34912 -13.4636688 295.033813 -220.709534 0.649999976 0.161085397 1.13658374E-02 0.398523122 -321.798187 295.033813 -2411.08716
651600.000 46478.4727 135.833313 2265.42822 2487.25952 -719.462341 1767.79724 3303.39697 -2712.68628 -13.4636688 295.722321 -220.611877 0.649999976 0.161085397 1.13658374E-02 0.398523122 -321.316193 295.722321 -2377.90649
651800.000 46478.4727 132.809479 1705.54028 2431.88989 -693.071289 1738.81848 2894.90356 -2708.11938 -13.4636688 295.411255 -220.728394 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.329071 295.411255 -2379.32666
652000.000 46478.4727 131.761871 787.163818 2412.70679 -803.198792 1609.50818 2143.08008 -2756.93311 -13.4636688 294.917084 -220.715652 0.649999976 0.161085397 1.13658374E-02 0.398523122 -332.567322 294.917084 -2410.90210
652200.000 46478.4727 132.922775 1670.58557 2433.96436 -740.124023 1693.84033 2826.23145 -2733.14429 -13.4636688 295.199493 -220.677277 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.110107 295.199493 -2400.57056
652400.000 46478.4727 135.254776 2657.42139 2476.66602 -733.295715 1743.37024 3544.67920 -2727.12329 -13.4636688 295.178650 -220.669266 0.649999976 0.161085397 1.13658374E-02 0.398523122 -317.309387 295.178650 -2396.35034
652600.000 46478.4727 129.511032 1653.84790 2371.49146 -733.506775 1637.98474 2759.03052 -2718.99048 -13.4636688 295.314789 -220.655441 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.881378 295.314789 -2391.64551
652800.000 46478.4727 134.013290 197.340530 2453.93286 -774.453552 1679.47937 1813.24487 -2748.21313 -13.4636688 295.284668 -220.652954 0.649999976 0.161085397 1.13658374E-02 0.398523122 -337.478058 295.284668 -2397.27148
653000.000 46478.4727 133.425018 1180.12378 2443.16113 -694.197998 1748.96313 2548.89917 -2711.08862 -13.4636688 295.938110 -220.609222 0.649999976 0.161085397 1.13658374E-02 0.398523122 -316.357147 295.938110 -2381.26782
653200.000 46478.4727 135.355789 1702.79602 2478.51562 -727.596191 1750.91931 2905.14404 -2719.77148 -13.4636688 295.249817 -220.663666 0.649999976 0.161085397 1.13658374E-02 0.398523122 -315.119110 295.249817 -2391.18872
653400.000 46478.4727 132.918350 1990.92896 2433.88330 -719.224243 1714.65906 3064.19214 -2731.85400 -13.4636688 295.102234 -220.643127 0.649999976 0.161085397 1.13658374E-02 0.398523122 -321.680054 295.102234 -2396.71045
653600.000 46478.4727 133.041336 2014.75293 2436.13550 -704.327332 1731.80811 3097.48999 -2708.73242 -13.4636688 295.501648 -220.681778 0.649999976 0.161085397 1.13658374E-02 0.398523122 -319.757385 295.501648 -2375.51123
653800.000 46478.4727 138.663040 2311.05688 2539.07520 -712.246643 1826.82837 3393.35718 -2720.61011 -13.4636688 295.569214 -220.675873 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.855194 295.569214 -2393.29126
654000.000 46478.4727 129.971863 2276.37378 2379.92993 -651.928711 1728.00122 3271.02051 -2695.35327 -13.4636688 295.418304 -220.690948 0.649999976 0.161085397 1.13658374E-02 0.398523122 -313.958344 295.418304 -2367.93140
654200.000 46478.4727 131.254013 1987.46619 2403.40771 -700.832825 1702.57483 3049.76074 -2713.45386 -13.4636688 295.258942 -220.699692 0.649999976 0.161085397 1.13658374E-02 0.398523122 -306.622955 295.258942 -2393.36719
654400.000 46478.4727 130.205368 1723.45325 2384.20581 -748.901489 1635.30420 2803.53125 -2728.20142 -13.4636688 295.034454 -220.665878 0.649999976 0.161085397 1.13658374E-02 0.398523122 -322.426147 295.034454 -2392.31152
654600.000 46478.4727 134.049591 1748.02759 2454.59766 -699.533142 1755.06458 2939.94922 -2706.32544 -13.4636688 295.063782 -220.586884 0.649999976 0.161085397 1.13658374E-02 0.398523122 -311.228333 295.063782 -2381.63354
654800.000 46478.4727 132.710907 2025.84485 2430.08496 -715.171509 1714.91345 3088.11401 -2696.92944 -13.4636688 294.949768 -220.675446 0.649999976 0.161085397 1.13658374E-02 0.398523122 -305.265137 294.949768 -2378.20068
655000.000 46478.4727 135.053543 1803.22546 2472.98096 -791.897705 1681.08337 2903.38330 -2744.98267 -13.4636688 294.939362 -220.718933 0.649999976 0.161085397 1.13658374E-02 0.398523122 -329.365387 294.939362 -2402.15356
