Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1950200.00 48256.1875 39649.9805 2419.63989 2669.87793 32993.8633 2562.48071 29.0327587 -8.05018997 269.840790 -191.476288
1950400.00 48256.1875 39898.0820 2454.79370 2649.35474 33183.1016 2542.95752 27.4847164 -8.05018997 270.335266 -191.422729
1950600.00 48256.1875 38884.9336 2469.99683 2693.08936 32529.0176 2577.17090 37.1664543 -8.05018997 270.013641 -191.261581
1950800.00 48256.1875 38605.5000 2453.26880 2613.76782 32236.3125 2502.28271 32.8680992 -8.05018997 269.721710 -191.104660
1951000.00 48256.1875 39241.1602 2444.93848 2636.09619 32697.6699 2527.56689 29.2095222 -8.05018997 270.237274 -190.917480
1951200.00 48256.1875 38457.5781 2487.67578 2645.26196 32198.1113 2546.80542 18.8338795 -8.05018997 270.519318 -190.896637
1951400.00 48256.1875 37574.2148 2447.37793 2584.35156 31475.2227 2467.28271 37.1953430 -8.05018997 270.633331 -190.759735
1951600.00 48256.1875 37518.4219 2473.74634 2554.98901 31432.9629 2431.57153 44.0564499 -8.05018997 270.309540 -190.948395
1951800.00 48256.1875 37513.4922 2500.17651 2584.90723 31485.8398 2488.10107 16.9619637 -8.05018997 270.854187 -191.009933
1952000.00 48256.1875 37643.3281 2430.91382 2547.78467 31470.8301 2448.19263 20.1614742 -8.05018997 270.559814 -191.129196
1952200.00 48256.1875 36738.8828 2409.71729 2616.82886 30882.1582 2516.11401 21.4881268 -8.05018997 270.603241 -191.376511
1952400.00 48256.1875 37304.9570 2421.02515 2622.88330 31297.9062 2526.84106 17.4670048 -8.05018997 270.055573 -191.480240
1952600.00 48256.1875 37658.9688 2403.27124 2613.69604 31520.1055 2511.27393 23.3095875 -8.05018997 270.553802 -191.441467
1952800.00 48256.1875 37836.6523 2432.92822 2605.17139 31666.2852 2499.19141 26.9916725 -8.05018997 270.298523 -191.310303
1953000.00 48256.1875 38484.6641 2473.18677 2629.48242 32186.9062 2536.67725 13.7123089 -8.05018997 270.383301 -191.290405
1953200.00 48256.1875 38078.2227 2452.88623 2635.74658 31886.8281 2542.57031 14.4372864 -8.05018997 270.220154 -191.481155
1953400.00 48256.1875 38201.1406 2450.35083 2565.16357 31900.2168 2476.61890 9.72924232 -8.05018997 270.340363 -191.524933
1953600.00 48256.1875 38592.3516 2512.51489 2628.05029 32300.5879 2533.48560 15.0502014 -8.05018997 270.833771 -191.319199
1953800.00 48256.1875 38833.9062 2430.46191 2679.34424 32439.8262 2566.23950 33.6535568 -8.05018997 270.786224 -191.335114
1954000.00 48256.1875 38524.2188 2433.58716 2620.65991 32166.3203 2543.73364 -2.42721891 -8.05018997 270.780823 -191.427536
1954200.00 48256.1875 38955.6836 2402.93970 2585.62354 32404.2871 2490.01001 17.1011581 -8.05018997 269.964081 -191.451675
1954400.00 48256.1875 38878.1562 2453.58521 2652.43115 32467.1797 2547.88672 25.4304485 -8.05018997 270.374634 -191.260513
1954600.00 48256.1875 38028.3633 2440.78247 2631.69727 31835.5879 2540.95972 11.4261341 -8.05018997 270.562927 -191.251480
1954800.00 48256.1875 37935.5859 2426.34570 2577.01050 31701.1699 2478.54858 19.9303074 -8.05018997 269.772919 -191.241257
1955000.00 48256.1875 37477.6562 2519.19800 2573.00977 31467.7461 2478.39893 15.5605297 -8.05018997 270.225922 -191.175644
1955200.00 48256.1875 37331.7266 2436.41113 2574.99927 31284.2461 2471.78223 23.7130337 -8.05018997 270.567535 -191.063583
1955400.00 48256.1875 37600.7148 2412.44043 2610.24927 31484.8301 2520.63501 10.7037039 -8.05018997 270.101654 -191.190887
1955600.00 48256.1875 36941.5781 2435.16919 2605.27002 31038.7031 2496.81470 28.9446106 -8.05018997 270.514557 -191.004013
1955800.00 48256.1875 37353.8711 2509.15112 2620.60400 31418.1777 2509.65308 31.0824852 -8.05018997 270.903442 -191.034943
1956000.00 48256.1875 38138.9805 2412.73706 2638.87671 31892.5684 2517.73999 41.1900444 -8.05018997 270.995697 -191.048889
1956200.00 48256.1875 38157.5820 2466.95850 2582.31812 31903.3223 2494.42212 7.95507956 -8.05018997 271.054657 -191.113647
1956400.00 48256.1875 37915.7539 2449.21826 2555.11841 31688.1934 2471.52954 3.71826243 -8.05018997 271.013641 -191.143173
1956600.00 48256.1875 38230.2891 2458.11084 2650.62988 32013.9570 2533.12256 37.4990959 -8.05018997 271.189148 -191.181107
1956800.00 48256.1875 37492.0117 2456.12549 2594.63159 31436.3965 2496.30664 19.2085476 -8.05018997 270.519165 -191.402649
1957000.00 48256.1875 37262.9219 2423.37183 2569.76758 31217.5547 2480.68408 9.58015347 -8.05018997 270.739014 -191.235474
1957200.00 48256.1875 37135.4609 2435.66504 2603.64355 31174.0195 2502.75122 21.4506512 -8.05018997 270.672791 -191.230988
1957400.00 48256.1875 37639.4609 2461.39233 2642.00220 31592.8047 2553.66260 9.07869339 -8.05018997 270.418945 -191.158234
1957600.00 48256.1875 37843.9219 2464.06519 2527.32178 31624.6895 2434.52637 13.3162527 -8.05018997 270.450897 -190.971786
1957800.00 48256.1875 37295.6055 2472.04517 2594.91284 31314.3730 2481.11328 33.5587883 -8.05018997 270.945129 -190.704193
1958000.00 48256.1875 37035.1328 2450.69849 2584.10083 31098.9023 2483.86938 20.0580635 -8.05018997 270.877014 -190.703735
1958200.00 48256.1875 37333.7656 2439.27490 2553.62354 31267.1699 2469.68042 4.96177721 -8.05018997 269.976257 -190.994949
1958400.00 48256.1875 37257.3789 2512.36182 2604.51831 31337.3945 2509.12964 16.3839035 -8.05018997 270.221588 -191.216873
1958600.00 48256.1875 36714.1250 2438.38062 2562.53638 30839.1055 2464.27905 19.3862343 -8.05018997 270.093658 -191.222534
1958800.00 48256.1875 37297.5898 2440.16235 2604.32959 31293.3047 2510.77222 14.2585716 -8.05018997 270.595764 -191.296844
1959000.00 48256.1875 38563.0117 2510.19629 2618.68970 32268.2598 2534.61743 4.94929981 -8.05018997 270.404755 -191.281784
1959200.00 48256.1875 38311.2695 2448.94629 2624.71338 32035.8672 2547.77710 -2.21579671 -8.05018997 270.599365 -191.447113
1959400.00 48256.1875 38159.5586 2419.06543 2667.86401 31942.3691 2573.06372 16.5943222 -8.05018997 269.475067 -191.269073
1959600.00 48256.1875 38138.8281 2493.44824 2658.12085 31992.4199 2558.22168 20.8506432 -8.05018997 270.074707 -191.026215
1959800.00 48256.1875 38221.9531 2437.64893 2602.05493 31939.0527 2507.71973 15.1195679 -8.05018997 270.252808 -191.037216
1960000.00 48256.1875 36817.8242 2448.30371 2618.28467 30977.7578 2521.68530 17.4909534 -8.05018997 270.149567 -191.041290
1960200.00 48256.1875 36880.6758 2419.74561 2582.06006 30957.2070 2472.28394 30.8009300 -8.05018997 270.238983 -191.263763
1960400.00 48256.1875 37817.7773 2439.52539 2605.28027 31659.7090 2531.59741 -5.47909451 -8.05018997 270.498962 -191.337006
1960600.00 48256.1875 38016.8594 2444.05908 2652.51050 31851.5801 2539.69092 33.4539223 -8.05018997 270.670105 -191.304428
1960800.00 48256.1875 37571.7461 2468.27368 2694.13867 31604.1699 2610.43530 4.25408649 -8.05018997 270.723755 -191.274612
1961000.00 48256.1875 38025.1211 2427.70654 2642.10181 31830.6348 2547.82642 14.9680767 -8.05018997 270.369049 -191.061752
1961200.00 48256.1875 38401.2109 2462.94409 2644.09351 32132.5430 2541.66382 23.0433064 -8.05018997 270.525848 -191.139694
1961400.00 48256.1875 37595.0664 2477.95361 2636.60083 31572.7227 2539.87231 17.4439659 -8.05018997 270.489258 -191.204590
1961600.00 48256.1875 37025.2734 2426.75732 2589.01685 31072.9395 2502.95581 7.15175629 -8.05018997 270.236847 -191.327515
1961800.00 48256.1875 37303.8945 2476.17236 2575.44800 31304.8691 2501.16797 -4.73001480 -8.05018997 270.298157 -191.288101
1962000.00 48256.1875 37822.0352 2438.56543 2632.83374 31689.3008 2546.66138 6.67311716 -8.05018997 270.618347 -191.119125
1962200.00 48256.1875 38015.5664 2383.79785 2632.40454 31770.3027 2542.94482 9.35392475 -8.05018997 271.221924 -191.116196
1962400.00 48256.1875 37936.2344 2482.54639 2630.98511 31811.8008 2538.12402 14.0742941 -8.05018997 270.093109 -191.306335
1962600.00 48256.1875 37982.6406 2416.41284 2652.39502 31799.7363 2553.61133 19.7916794 -8.05018997 270.188354 -191.196411
1962800.00 48256.1875 37924.3945 2418.37720 2594.74438 31703.0586 2525.20923 -8.76329517 -8.05018997 269.644470 -191.345917
1963000.00 48256.1875 38234.2031 2417.79370 2621.06226 31946.8281 2525.66016 17.0586681 -8.05018997 269.778381 -191.434967
1963200.00 48256.1875 38057.1367 2485.94800 2615.31348 31884.6191 2510.83691 25.5786018 -8.05018997 270.107941 -191.209808
1963400.00 48256.1875 37690.4141 2397.54053 2630.90161 31553.7129 2540.11499 11.4549789 -8.05018997 270.493988 -191.162292
1963600.00 48256.1875 38373.9570 2435.77417 2629.52002 32071.6172 2537.08813 13.3775902 -8.05018997 270.220123 -191.166000
1963800.00 48256.1875 38218.7852 2440.88062 2651.19067 31989.1914 2566.18286 5.43085337 -8.05018997 270.728485 -191.151535
1964000.00 48256.1875 37994.3477 2445.35645 2573.87036 31758.3945 2489.75488 4.56639719 -8.05018997 270.580109 -191.031052
1964200.00 48256.1875 38197.9023 2424.77588 2593.73755 31900.9355 2517.59009 -2.84216571 -8.05018997 270.152069 -191.162445
1964400.00 48256.1875 39230.1602 2471.67529 2673.84448 32754.4121 2588.98535 5.55022669 -8.05018997 270.366760 -191.057907
1964600.00 48256.1875 38565.6953 2390.73291 2639.35498 32171.3496 2536.04395 24.0600319 -8.05018997 270.478088 -191.227188
1964800.00 48256.1875 37800.7891 2463.86328 2651.06982 31717.8828 2546.85400 25.6615677 -8.05018997 270.013031 -191.458939
1965000.00 48256.1875 38535.8867 2456.63525 2617.36597 32194.2871 2515.28320 22.5498581 -8.05018997 270.882812 -191.349945
1965200.00 48256.1875 38577.6445 2456.02637 2631.51782 32237.2168 2529.42090 22.4657898 -8.05018997 270.973755 -191.342758
1965400.00 48256.1875 37119.4961 2459.96387 2650.48169 31233.9219 2549.74829 22.3117256 -8.05018997 269.763397 -191.341766
1965600.00 48256.1875 37234.9648 2451.50684 2584.85107 31241.0957 2487.88306 17.8623466 -8.05018997 270.347046 -191.241333
1965800.00 48256.1875 37696.6094 2416.06079 2620.03662 31565.7266 2527.64331 13.0045271 -8.05018997 270.423981 -191.034943
1966000.00 48256.1875 37879.4492 2460.93848 2667.64185 31786.8867 2567.12646 21.0314655 -8.05018997 270.624054 -191.140213
1966200.00 48256.1875 37288.8359 2399.35522 2625.72241 31267.7285 2535.69019 10.3497276 -8.05018997 270.869995 -191.187271
1966400.00 48256.1875 38142.8281 2459.43188 2594.20264 31897.2969 2509.24292 5.56123829 -8.05018997 270.698914 -191.300568
1966600.00 48256.1875 38326.8711 2537.06348 2628.52368 32138.7734 2523.66699 25.6592579 -8.05018997 270.444336 -191.246918
1966800.00 48256.1875 37447.8320 2464.92896 2627.59229 31447.0684 2507.13989 41.3073235 -8.05018997 270.454437 -191.309433
1967000.00 48256.1875 38292.6406 2398.68750 2652.34863 32000.1328 2563.08325 10.4092188 -8.05018997 270.209381 -191.353256
1967200.00 48256.1875 38571.9805 2430.43188 2665.61499 32241.7344 2557.80591 28.4249649 -8.05018997 270.576355 -191.192215
1967400.00 48256.1875 37325.4180 2471.91162 2596.09570 31336.4043 2485.17090 32.1681824 -8.05018997 269.929443 -191.172775
1967600.00 48256.1875 36764.5508 2435.35596 2558.16235 30867.1953 2476.03857 2.78682852 -8.05018997 270.394958 -191.058136
1967800.00 48256.1875 37225.2539 2410.66431 2567.91919 31176.4883 2466.47339 21.7800751 -8.05018997 270.736603 -191.070679
1968000.00 48256.1875 37013.4883 2397.78052 2565.96973 31012.6211 2471.41138 15.9878740 -8.05018997 269.919006 -191.348389
1968200.00 48256.1875 36718.6133 2460.60986 2587.25562 30889.2148 2486.30688 22.7842655 -8.05018997 269.626831 -191.462326
1968400.00 48256.1875 37935.0586 2382.20605 2626.12012 31705.7676 2538.98462 8.44902515 -8.05018997 270.128113 -191.441772
1968600.00 48256.1875 38847.9453 2434.58911 2632.53735 32407.0293 2546.49097 6.90888214 -8.05018997 270.471710 -191.334213
1968800.00 48256.1875 38746.7773 2472.29419 2637.92920 32378.9277 2555.49536 4.00965405 -8.05018997 269.651001 -191.227005
1969000.00 48256.1875 38591.6562 2418.10376 2573.27319 32150.9102 2493.34595 0.511169374 -8.05018997 270.463654 -191.047623
1969200.00 48256.1875 38101.6445 2417.82471 2632.14111 31864.6465 2543.26318 9.28538609 -8.05018997 270.662109 -191.069473
1969400.00 48256.1875 38050.3789 2415.46460 2654.82666 31848.8926 2555.56787 19.7630959 -8.05018997 270.640594 -191.144958
1969600.00 48256.1875 37941.6406 2425.63330 2591.97729 31719.6855 2484.25732 27.7669468 -8.05018997 270.969574 -191.016617
1969800.00 48256.1875 37000.5742 2420.08569 2577.04370 31036.9121 2484.62988 12.9781027 -8.05018997 270.337799 -190.902023
1970000.00 48256.1875 37277.2109 2428.96484 2635.10986 31298.5469 2536.86108 18.9750309 -8.05018997 270.171265 -190.897446
1970200.00 48256.1875 37656.6055 2383.11426 2588.48975 31473.0801 2510.28662 -0.742718935 -8.05018997 269.801025 -190.855392
1970400.00 48256.1875 37397.0547 2411.21680 2555.60693 31285.6367 2473.64722 2.33189559 -8.05018997 270.379242 -190.751328
1970600.00 48256.1875 36567.7969 2439.82910 2585.46582 30760.5039 2485.08032 21.0058079 -8.05018997 270.364197 -190.984543
1970800.00 48256.1875 37769.7188 2411.77539 2635.51929 31628.3750 2530.05371 26.3801651 -8.05018997 270.138550 -191.053131
1971000.00 48256.1875 38687.3359 2422.83765 2578.85010 32228.5586 2493.31299 5.76287889 -8.05018997 270.633026 -190.858658
1971200.00 48256.1875 38561.6523 2429.75000 2654.48022 32222.6484 2549.86572 24.4786339 -8.05018997 271.010834 -190.874954
1971400.00 48256.1875 37995.9336 2420.42139 2639.85107 31800.5566 2530.66187 29.5451508 -8.05018997 270.624481 -190.980423
1971600.00 48256.1875 38448.7148 2363.35278 2634.86621 32057.1562 2547.60400 7.35079861 -8.05018997 270.955048 -191.043457
1971800.00 48256.1875 38956.5469 2449.40552 2671.57080 32537.3086 2579.00317 12.0806818 -8.05018997 271.321838 -190.834793
1972000.00 48256.1875 37966.1094 2422.75024 2594.52271 31736.5684 2497.91284 16.3497601 -8.05018997 271.176605 -190.916428
