Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1500200.00 47139.9844 4037.59082 2370.68188 2064.64551 7211.12402 1930.09888 54.7513313 -8.24080658 270.626984 -190.831680
1500400.00 47139.9844 3091.89844 2448.96069 2082.18091 6656.78564 1932.76892 70.2634506 -8.24080658 270.217102 -191.068634
1500600.00 47139.9844 3685.85718 2437.28418 2070.90723 7042.17529 1930.74329 61.7913475 -8.24080658 269.761993 -191.389404
1500800.00 47139.9844 4568.13037 2418.05103 1959.97961 7518.56689 1845.14355 36.4005356 -8.24080658 269.780823 -191.345276
1501000.00 47139.9844 4779.97998 2412.32520 2068.33276 7766.83838 1937.41699 53.2624893 -8.24080658 269.266479 -191.613312
1501200.00 47139.9844 4097.89893 2471.51196 2065.86108 7354.63037 1939.48096 49.0381165 -8.24080658 269.042053 -191.700027
1501400.00 47139.9844 4108.09424 2386.93652 2039.94397 7251.14746 1902.26294 59.9624100 -8.24080658 269.319672 -191.600998
1501600.00 47139.9844 4705.91260 2459.45898 2014.42188 7709.14062 1897.89111 39.3047371 -8.24080658 268.748901 -191.522858
1501800.00 47139.9844 4935.31494 2475.55347 1998.11182 7866.63672 1871.04602 49.0254173 -8.24080658 269.538147 -191.497742
1502000.00 47139.9844 4551.88525 2385.18408 2006.90063 7521.45264 1862.47217 66.2776718 -8.24080658 269.706024 -191.555328
1502200.00 47139.9844 3922.41772 2448.32446 2036.96313 7181.90381 1914.08044 44.4856834 -8.24080658 269.872284 -191.475433
1502400.00 47139.9844 4628.45068 2448.57471 2024.19580 7654.77588 1891.01147 55.1825562 -8.24080658 269.559326 -191.557663
1502600.00 47139.9844 4516.22021 2363.71680 2042.94739 7511.51270 1913.60828 51.8272858 -8.24080658 269.128723 -191.616928
1502800.00 47139.9844 4033.82324 2446.62183 2071.58105 7291.40918 1933.09668 60.6300735 -8.24080658 269.639221 -191.784973
1503000.00 47139.9844 3631.67822 2421.14380 2057.74536 6975.62549 1919.31970 61.1826439 -8.24080658 269.142090 -191.898956
1503200.00 47139.9844 4148.26855 2377.31250 1993.47290 7222.67139 1858.78723 57.1871262 -8.24080658 269.249969 -191.751373
1503400.00 47139.9844 4101.40088 2393.60742 2076.74976 7290.02246 1960.01172 39.2880363 -8.24080658 269.150116 -191.700195
1503600.00 47139.9844 4184.45215 2423.05762 2085.94043 7385.76025 1955.52881 52.8687630 -8.24080658 269.243195 -191.700302
1503800.00 47139.9844 4437.46729 2421.13770 2039.44177 7511.28613 1929.44983 31.9972954 -8.24080658 269.573364 -191.578644
1504000.00 47139.9844 5019.65674 2403.54688 2050.63599 7905.13818 1928.72534 44.2329597 -8.24080658 269.300629 -191.622986
1504200.00 47139.9844 4976.29102 2461.23608 2057.25708 7939.63477 1930.02234 50.0531158 -8.24080658 268.910492 -191.728653
1504400.00 47139.9844 3994.82031 2450.37866 1994.91602 7191.68701 1861.14746 56.9168816 -8.24080658 268.678284 -191.826675
1504600.00 47139.9844 3175.81641 2392.72681 2036.07166 6612.13525 1922.60486 36.0686226 -8.24080658 269.105652 -191.707626
1504800.00 47139.9844 4012.73291 2466.43506 2071.90405 7297.04590 1946.69995 47.6032028 -8.24080658 269.151581 -191.550629
1505000.00 47139.9844 3414.86963 2429.48169 2033.16638 6810.33105 1907.76123 47.6944695 -8.24080658 269.328400 -191.617706
1505200.00 47139.9844 2878.12451 2453.77930 2038.40979 6470.86621 1914.23584 46.8513374 -8.24080658 268.989136 -191.666595
1505400.00 47139.9844 3452.71533 2456.96118 2045.35583 6876.01807 1920.24060 47.2821312 -8.24080658 269.302765 -191.469696
1505600.00 47139.9844 3780.47485 2406.56812 2033.19836 7038.79883 1903.13879 51.5211945 -8.24080658 269.771698 -191.233292
1505800.00 47139.9844 3609.85938 2480.18579 2070.25513 7032.17676 1949.90686 42.2386589 -8.24080658 269.391418 -191.281754
1506000.00 47139.9844 3171.36890 2416.66748 2071.86621 6668.81299 1933.58362 60.7888412 -8.24080658 268.767487 -191.273697
1506200.00 47139.9844 3952.32373 2448.93481 2044.74695 7210.85791 1928.16321 38.9965630 -8.24080658 268.980377 -191.393188
1506400.00 47139.9844 4359.49512 2456.80566 2056.86865 7510.77588 1924.92847 54.5572014 -8.24080658 268.819183 -191.436218
1506600.00 47139.9844 4438.42139 2434.39795 2005.43005 7491.19092 1871.34546 55.7521362 -8.24080658 269.477844 -191.145264
1506800.00 47139.9844 3884.07471 2473.12598 2055.36499 7198.74707 1933.03943 43.3116264 -8.24080658 270.007080 -190.993103
1507000.00 47139.9844 3350.66504 2435.26392 2070.39502 6809.20215 1936.42871 55.4958191 -8.24080658 269.629822 -191.159225
1507200.00 47139.9844 3306.19019 2445.20483 2049.40796 6767.58008 1918.09155 52.3108406 -8.24080658 270.302032 -191.296387
1507400.00 47139.9844 3580.93701 2470.49390 2121.80640 7054.15234 1994.29968 48.5025024 -8.24080658 270.183228 -191.179062
1507600.00 47139.9844 3383.02930 2400.60962 2086.57300 6812.97559 1948.57141 60.3754807 -8.24080658 268.884277 -191.258224
1507800.00 47139.9844 3012.42578 2449.00806 2045.95349 6565.96924 1904.18445 64.0348434 -8.24080658 268.947510 -191.213333
