Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1350200.00 48031.5352 198.313705 3229.19556 2420.69971 1936.53271 6619.25391 1870.12219 -11.9540224 -8.08784199 269.453735 -191.089157
1350400.00 48031.5352 203.393707 2640.51953 2482.70825 1924.57727 6256.94482 1884.72095 -38.4489937 -8.08784199 269.265594 -190.960281
1350600.00 48031.5352 199.563629 3407.32983 2435.95679 1982.16052 6804.91992 1928.31384 -24.2428074 -8.08784199 269.369385 -191.279846
1350800.00 48031.5352 196.021805 3385.64380 2392.72388 1963.51538 6727.85107 1908.64075 -23.2955914 -8.08784199 269.316284 -191.145935
1351000.00 48031.5352 202.785126 3520.07446 2475.27979 1990.37488 6931.43408 1932.91980 -19.7636337 -8.08784199 268.598480 -191.379807
1351200.00 48031.5352 203.003967 3845.93921 2477.95117 1923.59424 7095.58984 1875.45496 -28.7755508 -8.08784199 268.334015 -191.419113
1351400.00 48031.5352 197.543213 3899.32324 2411.29492 1977.93555 7120.66992 1919.72009 -19.3977489 -8.08784199 269.044434 -191.431351
1351600.00 48031.5352 198.821762 3855.54858 2426.90137 1993.80566 7121.48291 1935.24963 -19.3687630 -8.08784199 269.153015 -191.228134
1351800.00 48031.5352 199.526443 3571.87061 2435.50317 1999.14746 6936.71240 1937.77551 -16.3008080 -8.08784199 268.817078 -191.144333
1352000.00 48031.5352 200.330093 3859.66553 2445.31274 1976.54614 7125.51855 1909.92126 -10.7425127 -8.08784199 268.444214 -191.076859
1352200.00 48031.5352 202.491257 4868.45850 2471.69263 1971.29175 7853.29395 1910.00208 -16.2508793 -8.08784199 268.825500 -191.284897
1352400.00 48031.5352 199.120987 4842.68994 2430.55396 1975.30066 7798.11377 1904.88879 -8.03195000 -8.08784199 269.377930 -190.934067
1352600.00 48031.5352 198.463333 4368.14844 2422.52637 1926.83997 7409.21338 1870.12915 -21.7206116 -8.08784199 269.415863 -190.984467
1352800.00 48031.5352 202.045410 3804.41699 2466.25049 1994.18628 7125.39551 1928.79993 -13.2926407 -8.08784199 269.497406 -190.818436
1353000.00 48031.5352 198.665024 3455.10522 2424.98804 1985.66895 6830.92578 1911.95715 -5.12732649 -8.08784199 269.574280 -190.735107
1353200.00 48031.5352 195.468109 2314.45288 2385.96533 1945.62097 5952.83887 1899.57996 -32.8538895 -8.08784199 269.771881 -190.876892
1353400.00 48031.5352 203.024231 2683.16919 2478.19849 1958.25232 6315.98584 1896.00281 -16.2296925 -8.08784199 269.253662 -190.774414
1353600.00 48031.5352 199.402237 3684.94336 2433.98706 1969.98010 6985.23535 1896.40723 -4.97868204 -8.08784199 269.473785 -190.922256
1353800.00 48031.5352 199.777222 3951.81201 2438.56421 1948.86975 7155.64111 1893.79346 -23.3330498 -8.08784199 269.274200 -190.864700
1354000.00 48031.5352 206.187347 4082.87354 2516.80884 1949.54297 7326.36670 1885.39771 -13.9050531 -8.08784199 268.974640 -190.924332
1354200.00 48031.5352 200.540680 3069.17212 2447.88330 1952.37244 6550.18213 1891.64148 -17.2855816 -8.08784199 268.961243 -190.944717
1354400.00 48031.5352 198.535736 2731.44287 2423.40991 1988.02380 6324.78369 1927.48096 -16.8810081 -8.08784199 268.381714 -190.957947
1354600.00 48031.5352 202.130310 3575.03052 2467.28687 2015.68250 6987.24463 1944.43628 -6.61993361 -8.08784199 268.854828 -190.988754
1354800.00 48031.5352 197.970016 3701.84033 2416.50439 1959.07874 6968.68799 1892.93652 -12.1138582 -8.08784199 269.189453 -190.933426
1355000.00 48031.5352 199.125153 3182.48462 2430.60449 1989.53149 6649.43701 1921.68176 -10.0299320 -8.08784199 268.712402 -190.832687
1355200.00 48031.5352 200.294998 3684.11182 2444.88428 2006.55115 7032.12158 1930.43774 -2.51717734 -8.08784199 269.405243 -190.774673
1355400.00 48031.5352 202.781525 3448.10596 2475.23584 1945.86719 6836.46924 1884.25769 -16.9542847 -8.08784199 269.469818 -190.906067
1355600.00 48031.5352 193.764114 2843.43408 2365.16577 2006.21936 6363.18408 1927.18774 0.601760209 -8.08784199 269.486145 -191.056366
1355800.00 48031.5352 202.910095 2701.95776 2476.80518 1977.10864 6346.61035 1924.30798 -25.0877724 -8.08784199 269.097809 -191.209320
