Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
550000.000 51006.1797 200.055984 3433.51587 2441.96680 2886.95459 5328.92139 7883.02051 -1403.16248 -45.3161812 9245.37793 -6819.74316 0.550000012 0.595000029 0.354025006 -1357.84631 9245.37793
550200.000 51006.1797 202.804596 2745.31152 2475.51758 2933.21191 5408.72949 7450.89209 -1396.67114 -45.3161812 9233.15723 -6818.26221 0.550000012 0.595000029 0.354025006 -1351.35486 9233.15723
550400.000 51006.1797 198.029373 1668.91748 2417.22900 2891.83228 5309.06152 6550.52393 -1395.70935 -45.3161812 9226.59570 -6819.56055 0.550000012 0.595000029 0.354025006 -1350.39307 9226.59570
550600.000 51006.1797 196.665604 1869.64722 2400.58252 2951.07251 5351.65527 6742.43457 -1372.35181 -45.3161812 9224.71289 -6820.41406 0.550000012 0.595000029 0.354025006 -1327.03564 9224.71289
550800.000 51006.1797 201.172379 1737.15674 2455.59399 2914.61719 5370.21143 6662.43457 -1384.50232 -45.3161812 9222.78613 -6820.22949 0.550000012 0.595000029 0.354025006 -1339.18616 9222.78613
551000.000 51006.1797 199.262894 1394.29614 2432.28589 2926.77002 5359.05566 6396.23486 -1385.21875 -45.3161812 9220.41602 -6818.93701 0.550000012 0.595000029 0.354025006 -1339.90259 9220.41602
551200.000 51006.1797 199.472076 1946.22742 2434.83936 2912.23340 5347.07275 6794.81836 -1378.98755 -45.3161812 9219.45215 -6819.94922 0.550000012 0.595000029 0.354025006 -1333.67126 9219.45215
551400.000 51006.1797 195.688446 2495.64258 2388.65479 2878.15796 5266.81299 7123.25342 -1387.01404 -45.3161812 9229.73535 -6822.06738 0.550000012 0.595000029 0.354025006 -1341.69775 9229.73535
551600.000 51006.1797 200.211441 2403.24170 2443.86426 2939.62866 5383.49316 7171.19922 -1399.47742 -45.3161812 9229.37793 -6818.51416 0.550000012 0.595000029 0.354025006 -1354.16125 9229.37793
551800.000 51006.1797 199.739136 2275.54419 2438.09937 2902.19946 5340.29883 7033.01416 -1411.69629 -45.3161812 9230.59375 -6815.60742 0.550000012 0.595000029 0.354025006 -1366.38013 9230.59375
552000.000 51006.1797 199.569351 2051.44922 2436.02661 2901.01025 5337.03711 6863.05420 -1407.97412 -45.3161812 9228.26855 -6817.41309 0.550000012 0.595000029 0.354025006 -1362.65796 9228.26855
552200.000 51006.1797 202.965622 1639.95349 2477.48291 2933.43945 5410.92236 6630.83936 -1374.90613 -45.3161812 9237.54004 -6815.79883 0.550000012 0.595000029 0.354025006 -1329.58997 9237.54004
552400.000 51006.1797 195.378067 1548.98511 2384.86621 2934.57275 5319.43896 6471.68701 -1395.77527 -45.3161812 9233.40820 -6815.87695 0.550000012 0.595000029 0.354025006 -1350.45911 9233.40820
552600.000 51006.1797 198.509995 1686.46460 2423.09570 2918.72461 5341.82031 6596.33545 -1387.81970 -45.3161812 9236.24414 -6816.79492 0.550000012 0.595000029 0.354025006 -1342.50354 9236.24414
552800.000 51006.1797 199.728302 1733.90637 2437.96704 2935.09717 5373.06396 6662.86963 -1382.25342 -45.3161812 9228.96484 -6819.16797 0.550000012 0.595000029 0.354025006 -1336.93726 9228.96484
553000.000 51006.1797 199.919189 1960.19666 2440.29712 2934.24390 5374.54102 6832.67822 -1367.92065 -45.3161812 9222.92383 -6819.10693 0.550000012 0.595000029 0.354025006 -1322.60449 9222.92383
